"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","User launch DSAlgo application and Test Queue page","Navigating to Graph Representations page and clicking the Try here button","0","0","1","0","0"
"","User launch DSAlgo application and Test Queue page","The user is able to naviagte to Graph page","1","0","0","0","0"
"","DSalgo LinkedlistPage","validating Traversal Page","0","0","1","0","0"
"","DS Algo Sign in Page","Signin page validation with valid username and valid password","0","0","1","0","0"
"","User launch DSAlgo application and test stack page","The user is able to see the error message in pop up window with incorrect python code","0","0","3","0","0"
"","GetStarted page without logging on","Get Started button validation of DataStructures","0","0","1","0","0"
"","DSalgo LinkedlistPage","validating Introduction Page","0","0","1","0","0"
"","DSalgo treePage","validating PracticeQuestionPage","0","0","1","0","0"
"","User launch DSAlgo application and Test Queue page","The user is able to naviagte to Queue page","0","0","1","0","0"
"","Register Page validation","Entering all the details in proper format","1","0","2","0","0"
"","User launch DSAlgo application and Test Queue page","The user is able to see the error message in pop up window with incorrect python code","0","0","6","0","0"
"","User launch DSAlgo application and Test Queue page","The user is able to navigate to Practice Questions in Queue page","0","0","1","0","0"
"","DSalgo treePage","validating treePage","0","0","1","0","0"
"","DSalgo LinkedlistPage","validating PracticeQuestionPage","0","0","1","0","0"
"","User launch DSAlgo application and Test Queue page","Implementation using array page","0","0","1","0","0"
"","Register Page validation","Entering different passwords in password and password confirmation textbox","0","0","1","0","0"
"","User launch DSAlgo application and test stack page","The user is able to navigate to a page having an tryEditor from Implementation page","0","0","1","0","0"
"","User launch DSAlgo application and test stack page","The user is able to navigate to Practice Questions in Stack page","0","0","1","0","0"
"","User launch DSAlgo application and Test Queue page","Queue Operations page","0","0","1","0","0"
"","User launch DSAlgo application and test stack page","The user is able to see the output in console with proper python code","0","0","3","0","0"
"","User launch DSAlgo application and test stack page","The user is able to navigate to a page having an tryEditor from Opertaions in Stack page","0","0","1","0","0"
"","DSalgo treePage","validating Implementation in Python  Page","0","1","0","0","0"
"","User launch DSAlgo application and Test Queue page","The user is able to see the output in console with proper python code","0","0","6","0","0"
"","User launch DSAlgo application and test stack page","The user is able to navigate to Implementations in Stack page","0","0","1","0","0"
"","User launch DSAlgo application and Test Queue page","The user is able to navigate to Practice Questions in Graph page","0","0","1","0","0"
"","DSalgo LinkedlistPage","validating Types Of Linked List Page","0","0","1","0","0"
"","DSalgo treePage","validating Terminologies  Page","0","0","1","0","0"
"","DataStructure page","Data structures introduction page","0","0","1","0","0"
"","GetStarted page without logging on","Data Structures dropdown validation","0","0","1","0","0"
"","DSalgo treePage","validating  Implementation of BTS Page","0","0","1","0","0"
"","User launch DSAlgo application and test stack page","The user is able to naviagte to Stack page","0","0","1","0","0"
"","DSalgo LinkedlistPage","validating Insertion Page","0","0","1","0","0"
"","DSalgo arraypage","validating array page","0","0","1","0","0"
"","DSalgo treePage","validating Binary Tree Traversals  Page","0","1","0","0","0"
"","DSalgo treePage","validating Types of Binary Trees  Page","0","0","1","0","0"
"","DSalgo treePage","validating Implementation Of Binary Trees Page","0","0","1","0","0"
"","DSalgo LinkedlistPage","validating LinkedlistPage","0","0","1","0","0"
"","User launch DSAlgo application and test stack page","The user is able to navigate to Operations in Stack page","0","0","1","0","0"
"","DSalgo LinkedlistPage","validating Creating Linked List  Page","0","0","1","0","0"
"","DSalgo LinkedlistPage","validating Implement Linked List In Python Page","0","0","1","0","0"
"","DSalgo treePage","validating Tree Traversals of trees  Page","0","0","1","0","0"
"","DSalgo LinkedlistPage","validating Deletion Page","0","0","1","0","0"
"","User launch DSAlgo application and Test Queue page","Navigating to Graph page and clicking the Try here button","0","0","1","0","0"
"","DSalgo treePage","validating Binary Trees  Page","0","1","0","0","0"
"","User launch DSAlgo application and Test Queue page","Implementation of Queue page","0","0","1","0","0"
"","DS Algo Sign in Page","Signin page validation with invalid username and invalid  password","0","0","1","0","0"
"","Browser page","Open the browser","0","0","1","0","0"
"","DS Algo Sign in Page","Signin page validation with no username","0","0","1","0","0"
"","DSalgo treePage","validating Types of Trees Page","0","0","1","0","0"
"","DataStructure page","Get started page of Data Structure","0","0","1","0","0"
"","User launch DSAlgo application and Test Queue page","Implementation using collections.deque page","0","0","1","0","0"
"","DSalgo treePage","validating Traversals Illustrations  Page","0","0","1","0","0"
"","DS Algo Sign in Page","Signin page validation with no username and password","0","0","1","0","0"
"","DSalgo treePage","validating Binary Search Trees Page","0","0","1","0","0"
"","DSalgo treePage","validating Overview of trees  Page","0","0","1","0","0"
"","DS Algo Sign in Page","Signin page validation with username and  no password","0","0","1","0","0"
"","DataStructure page","Text editor screen","0","0","1","0","0"
"","User launch DSAlgo application and test stack page","The user is able to navigate to Applications in Stack page","0","0","1","0","0"
"","User launch DSAlgo application and test stack page","The user is able to navigate to a page having an tryEditor from Applications page","0","0","1","0","0"
"","DataStructure page","Console message and Practice Questions page","0","0","1","0","0"
"","DSalgo treePage","validating Application Of Binary trees  Page","0","0","1","0","0"
